ntaxa,rep,ils,ngt,m,avg_gtee,norm_output_error,output_hwcd
100,4,low,1000,20,0.0404285714285716,0.0,0.0
100,4,high,100,20,0.5037755102040816,0.1574074074074074,34.0
100,4,high,1000,20,0.5041326530612238,0.09259259259259259,20.0
100,5,low,100,20,0.03306122448979591,0.0,0.0
100,5,low,1000,20,0.03204081632653074,0.0,0.0
100,5,high,100,20,0.39020408163265313,0.0784313725490196,16.0
100,5,high,1000,10,0.3871734693877565,0.0196078431372549,4.0
100,5,high,1000,20,0.37994897959183793,0.00980392156862745,2.0
100,6,low,100,10,0.04204081632653063,0.03508771929824561,8.0
100,6,low,100,20,0.03795918367346938,0.0,0.0
100,6,low,1000,20,0.039500000000000146,0.0,0.0
100,6,high,100,10,0.3989795918367346,0.18421052631578946,42.0
100,6,high,100,20,0.4003061224489795,0.21929824561403508,50.0
100,7,low,100,20,0.035204081632653046,0.0,0.0
100,7,low,1000,20,0.035285714285714434,0.0,0.0
100,7,high,100,20,0.3898979591836734,0.10784313725490197,22.0
100,7,high,1000,10,0.38202040816326643,0.0196078431372549,4.0
100,8,low,100,20,0.03357142857142855,0.09009009009009009,20.0
100,8,low,1000,20,0.03412244897959196,0.036036036036036036,8.0
100,8,high,100,20,0.5173469387755104,0.11711711711711711,26.0
100,8,high,1000,20,0.5089183673469378,0.09009009009009009,20.0
100,9,low,100,10,0.035714285714285705,0.0196078431372549,4.0
50,13,high,100,20,0.3283333333333333,0.038461538461538464,4.0
50,18,high,100,20,0.3547916666666666,0.11538461538461539,12.0
50,17,low,100,10,0.02895833333333333,0.019230769230769232,2.0
50,19,low,1000,20,0.03679166666666665,0.034482758620689655,4.0
50,11,low,1000,20,0.033166666666666636,0.0,0.0
50,11,high,100,20,0.2847916666666667,0.32653061224489793,32.0
50,20,high,100,20,0.3877083333333334,0.2,22.0
50,19,high,1000,10,0.3706875,0.1724137931034483,20.0
50,17,low,100,20,0.037083333333333336,0.019230769230769232,2.0
50,16,high,100,20,0.41708333333333336,0.11538461538461539,12.0
