ntaxa,rep,ils,ngt,m,snaq_runtime_sum,snaq_runtime_serial,inphynet_runtime,nretic_true,nretic_est,rooted_major_hwcd,unrooted_major_hwcd,rooted_hwcd,unrooted_hwcd,rooted_min_greedy_hwcd,unrooted_min_greedy_hwcd,sum_constraint_hwcd,sum_constraint_retics,perfect_infer_unrooted_hwcd,min_unrooted_nj_hwcd,n_constraints,approx_norm_hwcd,min_greedy_approx_norm_hwcd,approx_norm_input_hwcd,approx_norm_nj_hwcd
50,6,low,1000,20,31767.781257629395,4630.102618932724,12.127824936,1,1,0,0,2,2,2,2,0,1,0,0,4,0.019230769230769232,0.019230769230769232,0.0,0.0
50,6,high,100,20,27980.900745630264,2411.713704109192,12.489276177,1,2,6,6,20,14,12,10,10,2,6,4,4,0.1346153846153846,0.09615384615384616,0.15277777777777776,0.041666666666666664
50,6,high,1000,10,5921.2145318984985,277.3612129688263,12.244461468,1,2,0,0,2,2,0,0,4,3,2,0,5,0.019230769230769232,0.0,0.044444444444444446,0.0
50,7,low,100,20,26153.446961164474,6760.682784080505,12.363863741,1,1,0,0,0,0,0,0,0,1,0,0,4,0.0,0.0,0.0,0.0
50,7,low,1000,20,48766.42642855644,10737.174779891968,12.125824928,1,1,0,0,0,0,0,0,0,1,0,0,4,0.0,0.0,0.0,0.0
50,7,high,100,20,38419.160618543625,3554.4875190258026,12.479827387,1,1,14,14,26,18,26,18,12,1,6,16,4,0.17307692307692307,0.17307692307692307,0.30952380952380953,0.16666666666666666
50,7,high,1000,20,41235.86546134949,4200.8236429691315,12.25635306,1,1,0,0,12,4,12,4,4,1,2,0,3,0.038461538461538464,0.038461538461538464,0.044444444444444446,0.0
50,8,low,100,20,30188.230688095093,5323.9866371154785,12.529664091,3,2,0,0,2,2,0,0,0,2,2,4,4,0.017241379310344827,0.0,0.041666666666666664,0.041666666666666664
50,8,low,1000,20,66309.5339000225,6395.251060962677,12.170741185,3,2,0,0,8,4,4,2,0,2,2,4,3,0.034482758620689655,0.017241379310344827,0.041666666666666664,0.041666666666666664
50,8,high,100,20,14783.31644320488,1882.673838853836,12.642316993,3,2,4,4,30,22,20,12,10,2,12,2,4,0.1896551724137931,0.10344827586206896,0.13194444444444445,0.020833333333333332
50,8,high,1000,20,87187.05491900444,12614.681370973587,12.247356569,3,2,0,0,28,20,20,12,8,2,4,2,3,0.1724137931034483,0.10344827586206896,0.10416666666666666,0.020833333333333332
50,9,low,100,10,7592.070038557053,1079.6993510723114,12.523055954,3,3,0,0,16,8,16,8,8,3,4,0,5,0.06896551724137931,0.06896551724137931,0.08888888888888889,0.0
50,9,low,100,20,28009.682016849518,7122.4306790828705,12.744232221,3,3,0,0,4,4,4,4,2,3,2,0,4,0.034482758620689655,0.034482758620689655,0.020833333333333332,0.0
