ntaxa,rep,ils,ngt,m,ncores,runtime
50,2,low,100,10,19,1429.1106560230255
50,2,low,100,10,20,1398.3662917613983
50,2,low,100,10,21,1349.7183949947357
50,2,low,100,10,22,1337.266093969345
50,2,low,100,10,23,1315.679764032364
50,2,low,100,10,24,1289.7519290447235
50,2,low,100,10,25,1261.6164090633392
50,2,low,100,10,26,1221.5600190162659
50,2,low,100,10,27,1217.8101978302002
50,2,low,100,10,28,1169.7718470096588
50,2,low,100,10,29,1168.9436688423157
50,2,low,100,10,30,1161.947069644928
50,2,low,100,10,31,1137.00559592247
50,2,low,100,10,32,1127.0262529850006
50,2,low,100,20,1,214245.23094892502
50,2,low,100,20,2,110948.36074614525
50,2,low,100,20,3,78639.55686306953
50,2,low,100,20,4,58856.11989593506
50,2,low,100,20,5,54152.011317014694
50,2,low,100,20,6,48824.61265826225
50,2,low,100,20,7,45660.540215969086
50,2,low,100,20,8,42918.58978223801
50,2,low,100,20,9,41785.190511226654
50,2,low,100,20,10,40688.386367082596
50,2,low,100,20,11,39310.14362192154
50,2,low,100,20,12,36632.322496175766
50,2,low,100,20,13,35908.75845718384
50,2,low,100,20,14,34994.87580513954
50,2,low,100,20,15,34716.25451731682
50,2,low,100,20,16,34471.239710092545
50,2,low,100,20,17,34211.42328119278
50,2,low,100,20,18,34105.99508810043
50,2,low,100,20,19,34011.2420129776
50,2,low,100,20,20,33807.94372010231
50,2,low,100,20,21,33566.123264074326
50,2,low,100,20,22,33433.24397826195
50,2,low,100,20,23,33293.70860385895
50,2,low,100,20,24,33218.91988801956
50,2,low,100,20,25,33160.16066002846
50,2,low,100,20,26,33031.83421611786
50,2,low,100,20,27,33014.79416513443
50,2,low,100,20,28,33013.23323607445
50,2,low,100,20,29,33012.925282001495
50,2,low,100,20,30,32998.57658314705
50,2,low,100,20,31,32964.49853801727
50,2,low,100,20,32,32954.54887008667
50,2,low,1000,20,1,74612.6214158535
50,2,low,1000,20,2,38387.72665476799
50,2,low,1000,20,3,27205.01599907875
50,2,low,1000,20,4,21429.705689668655
50,2,low,1000,20,5,19073.875557661057
50,2,low,1000,20,6,16671.124188899994
50,2,low,1000,20,7,15558.4300198555
50,2,low,1000,20,8,14481.609857797623
50,2,low,1000,20,9,13705.047770023346
50,2,low,1000,20,10,13252.708084106445
50,2,low,1000,20,11,12883.327414989471
50,2,low,1000,20,12,12507.121042013168
50,2,low,1000,20,13,12184.754336118698
50,2,low,1000,20,14,11955.445322990417
50,2,low,1000,20,15,11945.26038980484
50,2,low,1000,20,16,11768.075103759766
50,2,low,1000,20,17,11689.382349967957
50,2,low,1000,20,18,11638.791533946991
50,2,low,1000,20,19,11467.203928947449
50,2,low,1000,20,20,11415.998371124268
50,2,low,1000,20,21,11369.415316104889
50,2,low,1000,20,22,11177.611798763275
50,2,low,1000,20,23,11118.610934019089
50,2,low,1000,20,24,10870.03556895256
50,2,low,1000,20,25,10870.03556895256
50,2,low,1000,20,26,10870.03556895256
50,2,low,1000,20,27,10870.03556895256
50,2,low,1000,20,28,10870.03556895256
50,2,low,1000,20,29,10870.03556895256
50,2,low,1000,20,30,10870.03556895256
50,2,low,1000,20,31,10870.03556895256
50,2,low,1000,20,32,10870.03556895256
50,2,low,3000,10,1,4287.454057693481
50,2,low,3000,10,2,2144.3221027851105
50,2,low,3000,10,3,1438.4857778549194
50,2,low,3000,10,4,1087.326996088028
50,2,low,3000,10,5,890.8906121253967
50,2,low,3000,10,6,727.968906879425
50,2,low,3000,10,7,635.7487778663635
50,2,low,3000,10,8,555.3429570198059
50,2,low,3000,10,9,506.5762948989868
50,2,low,3000,10,10,463.8543510437012
50,2,low,3000,10,11,435.2223298549652
50,2,low,3000,10,12,406.911012172699
50,2,low,3000,10,13,376.8569278717041
50,2,low,3000,10,14,363.6188201904297
50,2,low,3000,10,15,347.87709283828735
50,2,low,3000,10,16,305.5310299396515
50,2,low,3000,10,17,297.0142068862915
50,2,low,3000,10,18,284.75800013542175
50,2,low,3000,10,19,272.86389088630676
50,2,low,3000,10,20,266.9994580745697
50,2,low,3000,10,21,252.28082585334778
50,2,low,3000,10,22,246.86106204986572
50,2,low,3000,10,23,240.8898618221283
50,2,low,3000,10,24,239.13569903373718
50,2,low,3000,10,25,227.80123782157898
50,2,low,3000,10,26,222.5896499156952
50,2,low,3000,10,27,213.7745749950409
50,2,low,3000,10,28,211.64161491394043
50,2,low,3000,10,29,203.9670102596283
50,2,low,3000,10,30,194.48957109451294
50,2,low,3000,10,31,190.0763030052185
50,2,low,3000,10,32,189.04211378097534
50,2,high,100,20,1,21921.04531264305
50,2,high,100,20,2,11273.592475175858
50,2,high,100,20,3,7449.135041713715
50,2,high,100,20,4,5755.768094062805
50,2,high,100,20,5,4711.794448852539
50,2,high,100,20,6,4229.702598571777
50,2,high,100,20,7,3763.811120033264
50,2,high,100,20,8,3249.9901831150055
50,2,high,100,20,9,2979.99228310585
50,2,high,100,20,10,2694.8116371631622
50,2,high,100,20,11,2581.7980670928955
50,2,high,100,20,12,2314.898693561554
50,2,high,100,20,13,2272.988254070282
50,2,high,100,20,14,2267.7478561401367
50,2,high,100,20,15,2265.6747522354126
50,2,high,100,20,16,2217.4655401706696
50,2,high,100,20,17,2217.4655401706696
50,2,high,100,20,18,2217.4655401706696
50,2,high,100,20,19,2217.4655401706696
50,2,high,100,20,20,2217.4655401706696
50,2,high,100,20,21,2217.4655401706696
50,2,high,100,20,22,2217.4655401706696
50,2,high,100,20,23,2217.4655401706696
50,2,high,100,20,24,2217.4655401706696
50,2,high,100,20,25,2217.4655401706696
50,2,high,100,20,26,2217.4655401706696
50,2,high,100,20,27,2217.4655401706696
50,2,high,100,20,28,2217.4655401706696
50,2,high,100,20,29,2217.4655401706696
50,2,high,100,20,30,2217.4655401706696
50,2,high,100,20,31,2217.4655401706696
50,2,high,100,20,32,2217.4655401706696
50,2,high,1000,20,1,131345.46846294403
50,2,high,1000,20,2,68405.26680612564
50,2,high,1000,20,3,47385.57325601578
50,2,high,1000,20,4,37212.49851489067
50,2,high,1000,20,5,32021.391765117645
50,2,high,1000,20,6,27911.734537124634
50,2,high,1000,20,7,25387.411876916885
50,2,high,1000,20,8,23884.12458896637
50,2,high,1000,20,9,22173.63738489151
50,2,high,1000,20,10,20744.475914239883
50,2,high,1000,20,11,19570.667057037354
50,2,high,1000,20,12,19440.10197710991
50,2,high,1000,20,13,18724.131441116333
50,2,high,1000,20,14,17591.90212202072
50,2,high,1000,20,15,17405.59628200531
50,2,high,1000,20,16,15761.893694162369
50,2,high,1000,20,17,14942.55810713768
50,2,high,1000,20,18,13275.606952905655
50,2,high,1000,20,19,13229.842844963074
50,2,high,1000,20,20,13184.347705125809
50,2,high,1000,20,21,13184.052824020386
50,2,high,1000,20,22,13181.495969057083
50,2,high,1000,20,23,13181.197818040848
50,2,high,1000,20,24,13180.69764494896
50,2,high,1000,20,25,13180.076568126678
50,2,high,1000,20,26,13178.937975883484
50,2,high,1000,20,27,13132.052618026733
50,2,high,1000,20,28,13132.052618026733
50,2,high,1000,20,29,13132.052618026733
50,2,high,1000,20,30,13132.052618026733
50,2,high,1000,20,31,13132.052618026733
50,2,high,1000,20,32,13132.052618026733
50,2,high,3000,20,1,84162.43428134918
50,2,high,3000,20,2,43293.4771733284
50,2,high,3000,20,3,29643.872418165207
50,2,high,3000,20,4,24398.0367538929
50,2,high,3000,20,5,19768.088154792786
50,2,high,3000,20,6,16960.189982175827
50,2,high,3000,20,7,15138.156579971313
50,2,high,3000,20,8,13592.159799814224
50,2,high,3000,20,9,12961.024437189102
50,2,high,3000,20,10,12640.091905117035
50,2,high,3000,20,11,12426.409625053406
50,2,high,3000,20,12,12360.389815092087
50,2,high,3000,20,13,12326.755004167557
50,2,high,3000,20,14,12120.649845123291
50,2,high,3000,20,15,12120.649845123291
50,2,high,3000,20,16,12120.649845123291
50,2,high,3000,20,17,12120.649845123291
50,2,high,3000,20,18,12120.649845123291
50,2,high,3000,20,19,12120.649845123291
50,2,high,3000,20,20,12120.649845123291
50,2,high,3000,20,21,12120.649845123291
50,2,high,3000,20,22,12120.649845123291
50,2,high,3000,20,23,12120.649845123291
50,2,high,3000,20,24,12120.649845123291
50,2,high,3000,20,25,12120.649845123291
50,2,high,3000,20,26,12120.649845123291
50,2,high,3000,20,27,12120.649845123291
50,2,high,3000,20,28,12120.649845123291
50,2,high,3000,20,29,12120.649845123291
50,2,high,3000,20,30,12120.649845123291
50,2,high,3000,20,31,12120.649845123291
50,2,high,3000,20,32,12120.649845123291
50,3,low,100,20,1,73274.5675239563
50,3,low,100,20,2,38191.87063217163
50,3,low,100,20,3,30408.20853304863
50,3,low,100,20,4,24145.759449005127
50,3,low,100,20,5,22188.783867836
50,3,low,100,20,6,20798.40752506256
50,3,low,100,20,7,19269.946268558502
50,3,low,100,20,8,18995.3993268013
50,3,low,100,20,9,18799.656594753265
50,3,low,100,20,10,18704.865404844284
50,3,low,100,20,11,18616.724133729935
50,3,low,100,20,12,18577.800559043884
50,3,low,100,20,13,18541.831105947495
50,3,low,100,20,14,18515.519304037094
50,3,low,100,20,15,18480.854627132416
50,3,low,100,20,16,18467.3876850605
50,3,low,100,20,17,18464.998652935028
50,3,low,100,20,18,18448.692775011063
50,3,low,100,20,19,18435.529599905014
50,3,low,100,20,20,18388.813258886337
50,3,low,100,20,21,18383.102468013763
50,3,low,100,20,22,18371.019113063812
50,3,low,100,20,23,18365.066205978394
50,3,low,100,20,24,18359.508796930313
50,3,low,100,20,25,18322.19979596138
50,3,low,100,20,26,18322.19979596138
50,3,low,100,20,27,18322.19979596138
50,3,low,100,20,28,18322.19979596138
50,3,low,100,20,29,18322.19979596138
50,3,low,100,20,30,18322.19979596138
50,3,low,100,20,31,18322.19979596138
50,3,low,100,20,32,18322.19979596138
50,3,low,1000,10,1,4821.191964626312
50,3,low,1000,10,2,2422.0176725387573
50,3,low,1000,10,3,1612.1333153247833
50,3,low,1000,10,4,1227.9013891220093
50,3,low,1000,10,5,989.8853523731232
50,3,low,1000,10,6,813.7640988826752
50,3,low,1000,10,7,715.0897107124329
50,3,low,1000,10,8,640.9057269096375
50,3,low,1000,10,9,573.2339777946472
50,3,low,1000,10,10,527.0773642063141
50,3,low,1000,10,11,481.1923141479492
50,3,low,1000,10,12,442.7216031551361
50,3,low,1000,10,13,421.8312711715698
50,3,low,1000,10,14,395.57211422920227
50,3,low,1000,10,15,369.3188147544861
50,3,low,1000,10,16,353.16975927352905
50,3,low,1000,10,17,326.3650629520416
50,3,low,1000,10,18,311.7679171562195
50,3,low,1000,10,19,299.7082917690277
50,3,low,1000,10,20,280.20284700393677
50,3,low,1000,10,21,277.52179312705994
50,3,low,1000,10,22,276.860582113266
50,3,low,1000,10,23,276.860582113266
50,3,low,1000,10,24,276.860582113266
50,3,low,1000,10,25,276.860582113266
50,3,low,1000,10,26,276.860582113266
50,3,low,1000,10,27,276.860582113266
50,3,low,1000,10,28,276.860582113266
50,3,low,1000,10,29,276.860582113266
50,3,low,1000,10,30,276.860582113266
50,3,low,1000,10,31,276.860582113266
50,3,low,1000,10,32,276.860582113266
50,3,low,1000,20,1,74278.91791248322
50,3,low,1000,20,2,39271.504215955734
50,3,low,1000,20,3,28213.00371694565
50,3,low,1000,20,4,22839.58791399002
50,3,low,1000,20,5,22178.274250030518
50,3,low,1000,20,6,20120.820640802383
50,3,low,1000,20,7,19372.2755548954
50,3,low,1000,20,8,19085.176672935486
50,3,low,1000,20,9,17144.834924936295
50,3,low,1000,20,10,17065.438438653946
50,3,low,1000,20,11,16984.473633527756
50,3,low,1000,20,12,16887.887234687805
50,3,low,1000,20,13,16737.60888171196
50,3,low,1000,20,14,15611.661134719849
50,3,low,1000,20,15,15589.716734409332
50,3,low,1000,20,16,15553.318795919418
50,3,low,1000,20,17,15542.791125774384
50,3,low,1000,20,18,15517.107215881348
50,3,low,1000,20,19,15507.987377882004
50,3,low,1000,20,20,15504.277567625046
50,3,low,1000,20,21,15503.436439752579
50,3,low,1000,20,22,15500.659433841705
50,3,low,1000,20,23,15497.459707736969
50,3,low,1000,20,24,15496.760036706924
50,3,low,1000,20,25,15496.60301065445
50,3,low,1000,20,26,15455.32801580429
50,3,low,1000,20,27,15455.32801580429
50,3,low,1000,20,28,15455.32801580429
50,3,low,1000,20,29,15455.32801580429
50,3,low,1000,20,30,15455.32801580429
50,3,low,1000,20,31,15455.32801580429
50,3,low,1000,20,32,15455.32801580429
50,3,high,100,20,1,26100.038818597794
50,3,high,100,20,2,15712.463957071304
50,3,high,100,20,3,11796.72549033165
