ntaxa,rep,ils,m,inphynet_runtime,nretic_true,nretic_est,unrooted_major_hwcd,unrooted_hwcd,min_greedy_hwcd,is_greedy_rooted,min_unrooted_nj_hwcd,misplaced_retics
50,15,high,30,0.00694514,4,4,0.0,0,0,false,0,0
50,16,low,10,0.00652562,1,1,0.0,0,0,false,0,0
50,16,low,20,0.006076062,1,1,0.0,0,0,false,0,0
50,16,low,30,0.005613597,1,1,0.0,0,0,false,0,0
50,16,high,10,0.006077154,1,1,0.0,0,0,false,0,0
50,16,high,20,0.006382448,1,1,0.0,0,0,false,0,0
50,16,high,30,0.006008552,1,1,0.0,0,0,false,0,0
50,17,low,10,0.006754645,1,1,0.0,0,0,false,0,0
50,17,low,20,0.006549746,1,1,0.0,0,0,false,0,0
50,17,low,30,0.006454045,1,1,0.0,0,0,false,0,0
50,17,high,10,0.00660321,1,1,0.0,0,0,false,0,0
50,17,high,20,0.018884014,1,1,0.0,0,0,false,0,0
50,17,high,30,0.00667111,1,1,0.0,0,0,false,0,0
50,18,low,10,0.0184473,1,1,0.0,0,0,false,0,0
50,18,low,20,0.005935232,1,1,0.0,0,0,false,0,0
50,18,low,30,0.018809187,1,1,0.0,0,0,false,0,0
50,18,high,10,0.006309527,1,1,0.0,0,0,false,0,0
50,18,high,20,0.00613914,1,1,0.0,0,0,false,0,0
50,18,high,30,0.005713471,1,1,0.0,0,0,false,0,0
50,19,low,10,0.006770429,3,3,0.0,0,0,false,0,0
50,19,low,20,0.006473672,3,3,0.0,0,0,false,0,0
50,19,low,30,0.006430691,3,3,0.0,0,0,false,0,0
50,19,high,10,0.006422398,3,3,0.0,0,0,false,0,0
50,19,high,20,0.006626711,3,3,0.0,0,0,false,0,0
50,19,high,30,0.006279203,3,3,0.0,0,0,false,0,0
50,20,low,10,0.007331771,2,2,0.0,0,0,false,0,0
50,20,low,20,0.006171317,2,2,0.0,0,0,false,0,0
50,20,low,30,0.006325669,2,2,0.0,0,0,false,0,0
50,20,high,10,0.00789431,2,2,0.0,0,0,false,0,0
50,20,high,20,0.006229841,2,2,0.0,0,0,false,0,0
50,20,high,30,0.00626461,2,2,0.0,0,0,false,0,0
50,21,low,10,0.008100673,1,1,0.0,0,0,false,0,0
50,21,low,20,0.007436313,1,1,0.0,0,0,false,0,0
50,21,low,30,0.005901038,1,1,0.0,0,0,false,0,0
50,21,high,10,0.008203681,1,1,0.0,0,0,false,0,0
50,21,high,20,0.007523732,1,1,0.0,0,0,false,0,0
50,21,high,30,0.005484046,1,1,0.0,0,0,false,0,0
50,22,low,20,0.008103852,2,2,0.0,0,0,false,0,0
50,22,low,30,0.00607753,2,2,0.0,0,0,false,0,0
50,22,high,20,0.008213993,2,2,0.0,0,0,false,0,0
50,22,high,30,0.005854687,2,2,0.0,0,0,false,0,0
50,23,low,10,0.00627996,1,1,0.0,0,0,false,0,0
50,23,low,20,0.005746523,1,1,0.0,0,0,false,0,0
50,23,low,30,0.006159374,1,1,0.0,0,0,false,0,0
50,23,high,10,0.006222765,1,1,0.0,0,0,false,0,0
50,23,high,20,0.006317893,1,1,0.0,0,0,false,0,0
50,23,high,30,0.005657692,1,1,0.0,0,0,false,0,0
50,24,low,10,0.007178555,1,1,0.0,0,0,false,0,0
