ntaxa,ngt,ils,nbp,m,r,imethod,gtee,hwcd,input_error,runtime_parallel,runtime_serial
25,100,high,1000,20,1,snaq,0.0772727272727273,14,14,2387.17180585861,3965.83896899223
25,100,high,1000,20,2,phylonet,0.0572727272727273,22,28,2899.79598197195,4597.70436097195
25,100,high,1000,20,2,snaq,0.0572727272727273,18,24,3459.23529911041,5617.88257217407
25,100,high,1000,20,4,phylonet,0.0636363636363636,24,30,4515.19719482243,5614.74159082243
25,100,high,1000,20,4,snaq,0.0636363636363636,32,40,4233.40216112137,6834.03480410576
25,100,high,1000,20,6,snaq,0.0781818181818182,26,30,3227.65743994713,5062.17136406898
25,100,high,1000,20,10,phylonet,0.0540909090909091,16,24,1883.22982117865,2600.60853317865
25,1000,low,100,10,1,phylonet,0.550909090909091,6,8,143.207768034424,356.394936034424
25,1000,low,100,10,1,snaq,0.550909090909091,8,10,72.970146894455,129.897862911224
25,1000,low,100,10,1,squirrel,0.550909090909091,28,20,17.071660708636,17.2228102609515
25,1000,low,100,10,2,snaq,0.182090909090909,6,10,189.775601148605,256.244184017181
25,1000,low,100,10,2,squirrel,0.182090909090909,26,24,14.6417959555984,14.8003554493189
25,1000,low,100,10,4,snaq,0.236545454545455,2,2,881.676130056381,1107.84216594696
25,1000,low,100,10,7,phylonet,0.190545454545455,4,2,247.281745993973,454.158326993973
25,1000,low,100,10,9,snaq,0.198727272727273,8,8,267.966290950775,354.762866020203
25,1000,low,100,10,10,phylonet,0.200272727272727,4,2,232.393327131531,424.411819131531
25,1000,low,100,10,10,snaq,0.200272727272727,4,2,348.047894239426,726.009642124176
25,1000,low,100,20,2,phylonet,0.233363636363636,2,8,3448.38513204079,3517.12291904079
25,1000,low,100,20,6,phylonet,0.196818181818182,8,8,13651.7732730051,14199.3730200051
25,1000,low,100,20,7,phylonet,0.260909090909091,2,6,2201.16557394929,2354.32925494929
25,1000,low,100,20,9,snaq,0.207318181818182,4,6,3856.35524582863,6168.11778974533
25,1000,low,100,20,10,phylonet,0.188227272727273,4,6,11140.8366688194,11304.2326488194
25,1000,high,100,10,1,snaq,0.354272727272727,8,10,228.792662143707,341.919345140457
25,1000,high,100,10,1,squirrel,0.354272727272727,38,38,16.1391287595034,16.2815162353218
25,1000,high,100,10,2,squirrel,0.350454545454545,42,42,15.8950593806803,16.0542439036071
25,1000,high,100,10,5,phylonet,0.951515151515152,36,42,1553.36475180353,1675.17410280353
25,1000,high,100,10,5,snaq,0.951515151515152,38,40,2534.97010803223,2669.04545521736
25,1000,high,100,10,6,snaq,0.377681818181818,12,10,2975.89525604248,4530.01826620102
25,1000,high,100,10,7,snaq,0.334545454545454,22,30,13116.3452370167,13901.5020451546
