ntaxa,rep,std0
50,1,3.395420424577222
50,2,3.3883164367145704
50,3,3.3907769283809346
50,4,3.3094335120738663
50,5,3.5042177401860197
50,6,3.193539936353369
50,7,3.323751796889474
50,8,3.0936233004564353
50,9,3.8753450184354494
50,10,3.4772221625959934
50,11,3.237616160359698
50,12,3.0452917476694537
50,13,3.195774944937735
50,14,3.627013596543766
50,15,3.9079388067578367
50,16,3.16782602757855
50,17,3.873831597253831
50,18,4.187206173542731
50,19,3.664507069198898
50,20,3.221194089095032
50,21,3.525566337632377
50,22,3.1812773768976887
50,23,3.857061136979761
50,24,3.6246502862231322
50,25,3.081596644560623
50,26,3.4242832121446987
50,27,3.6731642102776623
50,28,3.47751764106025
50,29,3.7125894059631315
50,30,3.160247473918426
50,31,3.333697212878001
50,32,3.790880961627818
50,33,3.8784319950270993
50,34,4.106410350350182
50,35,3.637994270008647
50,36,3.66561384269861
50,37,4.34683132780898
50,38,3.273062965552387
50,39,3.240510462184917
50,40,3.242827384968641
50,41,3.792707659577515
50,42,3.128011793953668
50,43,3.5658650913695022
50,44,3.190727284481374
50,45,4.164651823003433
50,46,3.0514345997630796
50,47,3.924308788105383
50,48,3.207092288289973
50,49,3.5439690757399176
50,50,3.3984930000073863
50,51,3.8362547403008422
50,52,3.0449935496424083
50,53,3.458682685278298
50,54,3.6059525045510985
50,55,3.0242271859661316
50,56,3.6003375551003285
50,57,3.786093373383973
50,58,3.816719072220542
50,59,4.172893810722215
50,60,2.869982998777693
50,61,4.140408224925495
50,62,3.2792798355319817
50,63,3.2337730511010876
50,64,3.354290691767708
50,65,3.428901262594823
50,66,3.132690457067203
50,67,3.8106751115274253
50,68,4.529217285138139
50,69,3.1211120179191023
50,70,3.4830297573842266
50,71,3.481346145576048
50,72,3.9049016429608088
50,73,3.5229586608218346
50,74,3.7337261621136903
50,75,4.1236665542136315
50,76,3.691125312167057
50,77,3.337501626262325
50,78,3.24165355777787
50,79,3.324926080079162
50,80,3.0872511275782166
50,81,3.018503795168924
50,82,3.423002911687269
50,83,3.3340089197481184
50,84,3.346737232917506
50,85,3.951049170358154
50,86,3.6712626048539967
50,87,3.107780003376846
50,88,3.341912252715216
50,89,3.7132828109164238
50,90,3.3249362636577002
50,91,3.5723106861495726
50,92,3.6483088265231474
50,93,4.57175015029231
50,94,4.519236782106552
50,95,3.912817249088011
50,96,3.559667253258376
50,97,3.6516185921754905
50,98,3.4015903095972693
50,99,4.10687957148674
50,100,3.833525499030373
100,1,3.2709295099054323
100,2,3.7236743063457967
100,3,4.1741832814193955
100,4,4.132537199825238
100,5,3.43380865065061
100,6,3.7016880376206958
100,7,3.714794720185567
100,8,3.970503422857051
100,9,3.6859544163390394
100,10,3.2405487186513238
100,11,3.684839762990746
100,12,3.50716258412526
100,13,3.468400885993543
100,14,3.4336681620273635
100,15,3.564307484007063
100,16,4.010338165640013
100,17,4.153277386563092
100,18,3.402719795555234
100,19,3.6411549768806117
100,20,3.9519519213266348
100,21,3.520541565084443
100,22,3.7490955044012786
100,23,3.2229508090664916
100,24,3.8864859533442093
100,25,4.365325911419862
100,26,4.214693872972942
100,27,3.596512362886043
100,28,3.1972809750024056
100,29,3.4493350520113335
100,30,3.6344829992940415
100,31,3.3690404731967334
100,32,3.7672022443588604
100,33,3.8532617069420634
100,34,3.509859444920411
100,35,3.572622825541682
100,36,3.9820587384952955
100,37,3.800178661757408
100,38,3.8502108804774733
100,39,3.12165725905836
100,40,3.460835478437124
100,41,3.806948099777964
100,42,3.8793711653228464
100,43,4.374055432018066
100,44,3.739661922078368
100,45,3.4611226977947167
100,46,3.840855879104952
100,47,4.19151570905054
100,48,3.572299514130412
100,49,3.89905049586189
100,50,4.126842521900626
100,51,3.077006944800467
100,52,3.9145227785967123
100,53,3.4576212247817497
100,54,3.7043392013656407
100,55,4.267363940453678
100,56,3.704730324488885
100,57,4.173220669164997
100,58,3.6607903225447633
100,59,3.7391256800464943
100,60,3.745259721743318
100,61,3.868234233899844
100,62,3.602453831834393
100,63,3.1919382309964055
100,64,3.6630921927623605
100,65,3.9155181400040866
100,66,3.9974772071417553
100,67,3.84897886803471
100,68,3.706408517601792
100,69,3.7743317924655995
100,70,3.816946193117929
100,71,3.250418647633499
100,72,4.019052125051472
100,73,4.073142650227821
100,74,4.17064181521325
100,75,3.379193559208666
100,76,3.8486409452274395
100,77,4.019001107695423
100,78,3.506619285629968
100,79,3.9933056116198156
100,80,3.7121108333977637
100,81,3.9807504674982175
100,82,3.447515682281259
100,83,3.7637831586304293
100,84,3.789702966858295
100,85,3.605205080426885
100,86,3.768500706052986
100,87,3.7834594509953514
100,88,3.16935954649735
100,89,3.5752359521525707
100,90,3.877936503532137
100,91,4.0139960140381055
100,92,3.587614188864941
100,93,3.4657817819958696
100,94,4.366542671815379
100,95,3.7973423860123456
100,96,3.532817916788876
100,97,3.297013403472823
100,98,4.449639210698001
100,99,3.737947057572201
100,100,3.7798630371476705
200,1,3.785496886197301
200,2,3.9902119146714523
200,3,3.3696425965697534
200,4,3.720936471281725
200,5,3.701468727355436
200,6,3.89618737249051
200,7,4.015107308707307
200,8,4.130241223151857
200,9,4.004398534457432
200,10,4.108284303732525
200,11,3.5357456399605534
200,12,3.643675711626311
200,13,3.537740766623164
200,14,3.7858556641341923
200,15,3.882220478077071
200,16,3.63682444564483
200,17,3.85953581501045
200,18,3.8859167966282957
200,19,3.466014292231223
200,20,3.8744493504358446
200,21,3.95366203025152
200,22,3.5785302362725386
200,23,4.156540948130982
200,24,4.007545011023067
200,25,3.954457366332129
200,26,3.7591585856320036
200,27,4.273991610774243
200,28,4.119858299749905
200,29,4.33526556586266
200,30,3.9536060332443035
200,31,4.612159146041963
200,32,4.060860057084453
200,33,3.7027339623005386
200,34,3.7221878375157953
200,35,3.794380579568227
200,36,4.075313423715683
200,37,3.953148655004972
200,38,3.631466519846593
200,39,4.216746776286137
200,40,4.189134236549882
200,41,3.68687279734403
200,42,3.8223646165405967
200,43,3.923209363529409
200,44,4.012316185197715
200,45,4.014487894033452
200,46,3.8193965597841024
200,47,3.8462306539255637
200,48,3.8797114260680905
200,49,4.11706441040754
200,50,3.813501855459521
200,51,4.153847919644063
200,52,3.80612885728968
200,53,3.544165475653201
200,54,3.5308135814995674
200,55,4.055612712906602
200,56,4.295295341502716
200,57,3.9837710974456755
200,58,3.877583477375292
200,59,4.2622369084339145
200,60,3.8686984024474
200,61,3.7764859185070407
200,62,3.9062689750087354
200,63,4.42492801358855
200,64,3.9712068214242016
200,65,4.1818928785043425
200,66,4.091521413127749
200,67,3.8987570687251534
200,68,3.9439909896104104
200,69,3.775206237576508
200,70,3.9931306675719127
200,71,4.013367942565507
200,72,3.735477898744284
200,73,3.6876201538666566
200,74,3.863119220533425
200,75,4.216755764707606
200,76,3.9848548436822617
200,77,3.7752269778399983
200,78,4.053818904129761
200,79,3.792322987543512
200,80,3.931141855428426
200,81,4.206109961329761
200,82,3.8126391355210463
200,83,4.02336510595028
200,84,3.9427053045057097
200,85,3.8590948944595835
200,86,4.242022918752149
200,87,3.8993416977866087
200,88,3.759484733570337
